PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Referenced in sitemaps,No. of href inlinks,No. of redirect inlinks,No. of canonical inlinks,No. of hreflang inlinks,No. of pagination inlinks,No. of CSS inlinks,No. of IMG inlinks,No. of JS inlinks
20,https://cost-smart-five.vercel.app/solar-roi/visakhapatnam,Solar ROI Calculator for Visakhapatnam - Is it Worth it in 2025?,text/html; charset=utf-8,false,200,0,https://cost-smart-five.vercel.app/sitemap.xml,0,0,0,0,0,0,0,0
20,https://cost-smart-five.vercel.app/solar-roi/jodhpur/500,Solar ROI for 500 sq ft Roof in Jodhpur - Detailed Report,text/html; charset=utf-8,false,200,0,https://cost-smart-five.vercel.app/sitemap.xml,0,0,0,0,0,0,0,0
20,https://cost-smart-five.vercel.app/solar-roi/kanpur,Solar ROI Calculator for Kanpur - Is it Worth it in 2025?,text/html; charset=utf-8,false,200,0,https://cost-smart-five.vercel.app/sitemap.xml,0,0,0,0,0,0,0,0
20,https://cost-smart-five.vercel.app/solar-roi/budget/200000,"Solar System for ₹200,000 Budget - ROI & Capacity",text/html; charset=utf-8,false,200,0,https://cost-smart-five.vercel.app/sitemap.xml,0,0,0,0,0,0,0,0
20,https://cost-smart-five.vercel.app/solar-roi/howrah/3000,Solar ROI for 3000 sq ft Roof in Howrah - Detailed Report,text/html; charset=utf-8,false,200,0,https://cost-smart-five.vercel.app/sitemap.xml,0,0,0,0,0,0,0,0
20,https://cost-smart-five.vercel.app/solar-roi/jodhpur/1500,Solar ROI for 1500 sq ft Roof in Jodhpur - Detailed Report,text/html; charset=utf-8,false,200,0,https://cost-smart-five.vercel.app/sitemap.xml,0,0,0,0,0,0,0,0
20,https://cost-smart-five.vercel.app/solar-roi/indore/500,Solar ROI for 500 sq ft Roof in Indore - Detailed Report,text/html; charset=utf-8,false,200,0,https://cost-smart-five.vercel.app/sitemap.xml,0,0,0,0,0,0,0,0
20,https://cost-smart-five.vercel.app/solar-roi/amritsar/3000,Solar ROI for 3000 sq ft Roof in Amritsar - Detailed Report,text/html; charset=utf-8,false,200,0,https://cost-smart-five.vercel.app/sitemap.xml,0,0,0,0,0,0,0,0
20,https://cost-smart-five.vercel.app/solar-roi/kanpur/5000,Solar ROI for 5000 sq ft Roof in Kanpur - Detailed Report,text/html; charset=utf-8,false,200,0,https://cost-smart-five.vercel.app/sitemap.xml,0,0,0,0,0,0,0,0
20,https://cost-smart-five.vercel.app/solar-roi/ranchi/2000,Solar ROI for 2000 sq ft Roof in Ranchi - Detailed Report,text/html; charset=utf-8,false,200,0,https://cost-smart-five.vercel.app/sitemap.xml,0,0,0,0,0,0,0,0
