PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Schema items,Structured data issues,Is indexable page
70,https://cost-smart-five.vercel.app/in/income-tax-calculator,Income Tax Calculator FY 2024-25 (AY 25-26) | Old vs New Regime,text/html; charset=utf-8,false,200,0,SoftwareApplication,Google rich results validation error,true
70,https://cost-smart-five.vercel.app/in/salary-calculator,Salary Calculator India | CTC to In-Hand Salary (FY 24-25),text/html; charset=utf-8,false,200,0,SoftwareApplication,Google rich results validation error,true
70,https://cost-smart-five.vercel.app/in/sip-calculator,SIP Calculator | Mutual Fund Returns Estimator India,text/html; charset=utf-8,false,200,0,SoftwareApplication,Google rich results validation error,true
70,https://cost-smart-five.vercel.app/in/ppf-calculator,PPF Calculator | Public Provident Fund Interest & Maturity,text/html; charset=utf-8,false,200,0,SoftwareApplication,Google rich results validation error,true
70,https://cost-smart-five.vercel.app/in/fd-calculator,Fixed Deposit Calculator | FD Interest Rates India,text/html; charset=utf-8,false,200,0,SoftwareApplication,Google rich results validation error,true
70,https://cost-smart-five.vercel.app/currency,Live Currency Converter & Exchange Rates | CostSmart,text/html; charset=utf-8,false,200,0,SoftwareApplication,Google rich results validation error,true
70,https://cost-smart-five.vercel.app/home-loan-calculator,Home Loan EMI Calculator | CostSmart,text/html; charset=utf-8,false,200,0,"FAQPage
SoftwareApplication",Google rich results validation error,true
50,https://cost-smart-five.vercel.app/in/stamp-duty-calculator,Stamp Duty Calculator India | Property Registration Charges,text/html; charset=utf-8,false,200,0,SoftwareApplication,Google rich results validation error,true
50,https://cost-smart-five.vercel.app/freelance-rate-calculator,Freelance Rate Calculator | CostSmart,text/html; charset=utf-8,false,200,0,SoftwareApplication,Google rich results validation error,true
50,https://cost-smart-five.vercel.app/business-loan-calculator,Business Loan Calculator | CostSmart,text/html; charset=utf-8,false,200,0,SoftwareApplication,Google rich results validation error,true
50,https://cost-smart-five.vercel.app/in/gst-input-credit-calculator,GST Input Credit Calculator | CostSmart,text/html; charset=utf-8,false,200,0,SoftwareApplication,Google rich results validation error,true
50,https://cost-smart-five.vercel.app/in/tds-calculator,TDS Calculator | CostSmart,text/html; charset=utf-8,false,200,0,SoftwareApplication,Google rich results validation error,true
40,https://cost-smart-five.vercel.app/retirement-calculator,Retirement Planner | Inflation Adjusted Calculator,text/html; charset=utf-8,false,200,0,SoftwareApplication,Google rich results validation error,true
40,https://cost-smart-five.vercel.app/profit-margin-calculator,Profit Margin Calculator | CostSmart,text/html; charset=utf-8,false,200,0,SoftwareApplication,Google rich results validation error,true
40,https://cost-smart-five.vercel.app/debt-payoff-calculator,Debt Payoff Calculator | Snowball vs Avalanche Method,text/html; charset=utf-8,false,200,0,SoftwareApplication,Google rich results validation error,true
40,https://cost-smart-five.vercel.app/emergency-fund-calculator,Emergency Fund Calculator | Financial Safety Net,text/html; charset=utf-8,false,200,0,SoftwareApplication,Google rich results validation error,true
40,https://cost-smart-five.vercel.app/loan-calculator,True Cost Loan Calculator | Mortgage & EMI Estimator,text/html; charset=utf-8,false,200,0,"FAQPage
SoftwareApplication",Google rich results validation error,true
40,https://cost-smart-five.vercel.app/investment-calculator,Investment Return Calculator | Compound Interest Growth,text/html; charset=utf-8,false,200,0,"FAQPage
SoftwareApplication",Google rich results validation error,true
40,https://cost-smart-five.vercel.app/in/emi-calculator,"EMI Calculator India | Home, Car & Personal Loan EMI",text/html; charset=utf-8,false,200,0,SoftwareApplication,Google rich results validation error,true
40,https://cost-smart-five.vercel.app/break-even-calculator,Break-Even Calculator | CostSmart,text/html; charset=utf-8,false,200,0,SoftwareApplication,Google rich results validation error,true
20,https://cost-smart-five.vercel.app/in/lpg-subsidy-calculator,LPG Subsidy Calculator | CostSmart,text/html; charset=utf-8,false,200,0,SoftwareApplication,Google rich results validation error,true
20,https://cost-smart-five.vercel.app/in/water-bill-calculator,Water Bill Calculator | CostSmart,text/html; charset=utf-8,false,200,0,SoftwareApplication,Google rich results validation error,true
20,https://cost-smart-five.vercel.app/in/property-tax-calculator,Property Tax Calculator | CostSmart,text/html; charset=utf-8,false,200,0,SoftwareApplication,Google rich results validation error,true
20,https://cost-smart-five.vercel.app/in/electricity-bill-calculator,Electricity Bill Calculator | CostSmart,text/html; charset=utf-8,false,200,0,SoftwareApplication,Google rich results validation error,true
20,https://cost-smart-five.vercel.app/shipping-cost-calculator,Shipping Cost Calculator | CostSmart,text/html; charset=utf-8,false,200,0,SoftwareApplication,Google rich results validation error,true
20,https://cost-smart-five.vercel.app/moving-cost-calculator,Moving Cost Calculator | Relocation & Packers Movers Estimate | CostSmart,text/html; charset=utf-8,false,200,0,"BreadcrumbList
FAQPage
SoftwareApplication",Google rich results validation error,true
20,https://cost-smart-five.vercel.app/compare/emi-vs-sip,EMI vs SIP Calculator | Pay Loan or Invest? | CostSmart,text/html; charset=utf-8,false,200,0,SoftwareApplication,Google rich results validation error,true
20,https://cost-smart-five.vercel.app/invoice-generator,Invoice Generator | CostSmart,text/html; charset=utf-8,false,200,0,SoftwareApplication,Google rich results validation error,true
